id,taxonomy
CP017839.1,Nocardia
CP016904.1,Ralstonia
HG738867.1,Escherichia
CP029346.1,Aquirufa
CP021333.1,Marinobacter
CP021330.1,Maritalea
AP017457.1,Aurantimicrobium
CP016269.1,Bacteria
KT364412.1,Myxosporea
KT364411.1,Myxosporea
KT364410.1,Myxosporea
LN846994.1,Yarrowia
LN846993.1,Yarrowia
LN846992.1,Yarrowia
LN846991.1,Yarrowia
LN846990.1,Yarrowia
LN846989.1,Yarrowia
LN846988.1,Yarrowia
LN846987.1,Yarrowia
LN846986.1,Yarrowia
LN846985.1,Yarrowia
LN846984.1,Yarrowia
LN846983.1,Yarrowia
LN846982.1,Yarrowia
LN846981.1,Yarrowia
EU304548.1,marine
OZ297651.1,protist
OZ297650.1,protist
OZ297649.1,protist
OZ297648.1,protist
OZ297647.1,protist
OZ297646.1,protist
OZ297645.1,protist
OZ297644.1,protist
OZ297643.1,protist
OZ297642.1,protist
OZ297641.1,protist
OZ297640.1,protist
OZ297639.1,protist
OZ297638.1,protist
OZ297637.1,protist
OZ297636.1,protist
OZ297635.1,protist
OZ297634.1,protist
OZ297633.1,protist
OZ297632.1,protist
OZ297631.1,protist
OZ297630.1,protist
OZ297629.1,protist
OZ297628.1,protist
OZ297627.1,protist
OZ297626.1,protist
OZ297625.1,protist
OZ297624.1,protist
OZ297623.1,protist
OZ297622.1,protist
OZ297621.1,protist
OZ297620.1,protist
OZ253832.1,fungus
OZ253829.1,fungus
OZ253828.1,fungus
OZ253827.1,fungus
OZ253826.1,fungus
OZ253825.1,fungus
OZ253823.1,fungus
OZ253821.1,fungus
OZ253820.1,fungus
OZ253819.1,fungus
OZ253818.1,fungus
OZ253817.1,fungus
OZ253816.1,fungus
OZ253815.1,fungus
OZ253814.1,fungus
OZ253813.1,fungus
OZ253812.1,fungus
OZ253811.1,fungus
OZ253810.1,fungus
OZ253809.1,fungus
OZ253808.1,fungus
OZ253807.1,fungus
OZ253806.1,fungus
OZ253805.1,fungus
OZ253804.1,fungus
OZ253803.1,fungus
OZ253802.1,fungus
OZ253801.1,fungus
OZ253800.1,fungus
OZ253799.1,fungus
OZ253798.1,fungus
OZ253797.1,fungus
OZ253796.1,fungus
OZ253795.1,fungus
OZ253794.1,fungus
OZ253792.1,fungus
OZ253791.1,fungus
OZ253790.1,fungus
OZ253789.1,fungus
OZ253788.1,fungus
OZ253787.1,fungus
OZ253786.1,fungus
KT390098.1,marine
KT390092.1,marine
KT390083.1,marine
KT390075.1,marine
KT390072.1,marine
KT390067.1,marine
KT390063.1,marine
KT390062.1,marine
KT390051.1,marine
KT390035.1,marine
KT390029.1,marine
KT390016.1,marine
KT390013.1,marine
KT390012.1,marine
KT390011.1,marine
KT390009.1,marine
KT390008.1,marine
KT390007.1,marine
KT390004.1,marine
KT390003.1,marine
KT389960.1,marine
KT389957.1,marine
KT389955.1,marine
KT389944.1,marine
KT389931.1,marine
KT389930.1,marine
KT389928.1,marine
KT389927.1,marine
KT389924.1,marine
KT389923.1,marine
KT389922.1,marine
KT389919.1,marine
KT389917.1,marine
KT389916.1,marine
KT389915.1,marine
KT389914.1,marine
KT389912.1,marine
KT389911.1,marine
KT389908.1,marine
KT389901.1,marine
KT389872.1,marine
KT389871.1,marine
KT389869.1,marine
KP099875.1,marine
MF992111.1,marine
KP099898.1,marine
KP099895.1,marine
KP099883.1,marine
KP099871.1,marine
KP099868.1,marine
KP099856.1,Oithona
KP099855.1,marine
KP099852.1,marine
KP099851.1,marine
KP099847.1,marine
KP099834.1,Oithona
KP099831.1,marine
KP099828.1,Pleurobrachia
KP099826.1,marine
KP099824.1,marine
KP099821.1,marine
KP099746.1,marine
GQ383513.1,marine
GQ383512.1,marine
GQ383511.1,marine
GQ383510.1,marine
GQ383509.1,marine
GQ383508.1,marine
GQ383507.1,marine
GQ383506.1,marine
GQ383505.1,marine
GQ383504.1,marine
GQ383503.1,marine
GQ383502.1,marine
GQ383501.1,marine
GQ383500.1,marine
GQ383499.1,marine
GQ383498.1,marine
GQ383497.1,marine
GQ383496.1,marine
GQ383495.1,marine
GQ383494.1,marine
GQ383493.1,marine
GQ383492.1,marine
GQ383491.1,marine
GQ383490.1,marine
